miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.975513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.975513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	6.340832	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.975513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	55	26.826599	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1907	930.151341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2231	1088.184395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	7563	3688.901202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	353	172.177988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	4.389807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	1.463269	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.463269	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	7.804101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.975513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	1.951025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	3.902051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.951025	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	7.804101	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	12.193909	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.487756	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.487756	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	5.365320	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.975513	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	2.438782	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	340	165.837156	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	5.365320	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	12	5.853076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	7613	3713.289019	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.463269	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2288	1115.986507	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.975513	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1969	960.392234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	67	32.679675	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.487756	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	27	13.169421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	42	20.485766	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	44	21.461279	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	1.463269	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	73	35.606213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1928	940.394224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2285	1114.523238	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	7651	3731.823760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	368	179.494333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	5	2.438782	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	18	8.779614	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.975513	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	3.414294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	1.463269	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.487756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.975513	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	14	6.828589	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	6.340832	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.975513	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.487756	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	1.463269	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.487756	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112823:+	1	0.487756	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113665-46113691:+	1	0.487756	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.975513	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	3	1.463269	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	4.877563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	27	13.169421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	786	383.376484	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	20763	10127.284895	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6113	2981.654509	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17832	8697.671061	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6359	3101.642568	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	11	5.365320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	1	0.487756	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	11	5.365320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	17	8.291858	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	53	25.851086	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	28	13.657178	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.487756	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	6	2.926538	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	4	1.951025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	15	7.316345	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	1.463269	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	2	0.975513	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	7	3.414294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	1.463269	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.487756	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	5	2.438782	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.975513	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	14	6.828589	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	73	35.606213	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.487756	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.487756	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.487756	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	1	0.487756	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.975513	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.487756	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.487756	Y	mature,MIMAT0000064
