miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.157929	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.508846	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	3.473786	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.192988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	561	108.266338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	15283	2949.437498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	29061	5608.427869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	45218	8726.536986	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	577	111.354147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.350917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.578964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.385976	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.771952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.192988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	5	0.964941	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	43	8.298489	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	121	23.351563	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.385976	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.192988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.964941	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	3.666774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.578964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.192988	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.192988	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.192988	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.385976	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	17	3.280798	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	28	5.403667	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	4.052751	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.192988	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.385976	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.385976	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.578964	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.192988	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176017-94176035:+	1	0.192988	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.192988	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.192988	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.192988	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.192988	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.157929	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.192988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.385976	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.578964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	524	101.125777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.192988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.578964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	28	5.403667	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	111	21.421682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.192988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	1.350917	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	45265	8735.607428	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.771952	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	0.771952	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	35	6.754584	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.385976	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	28783	5554.777170	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.385976	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.192988	N	mature,MIMAT0000062
