miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	2.517883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	2.517883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	63	52.875549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2122	1780.982763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1911	1603.891640	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4927	4135.203617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	162	135.965696	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	4.196472	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	7.553650	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	5.875061	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	47	39.446838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	2.517883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	2.517883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	15.946594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	1.678589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	3.357178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	15.946594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	17.625183	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	9.232239	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	1.678589	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.839294	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.839294	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.839294	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	17.625183	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	17	14.268005	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	9	7.553650	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.839294	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	3.357178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	138	115.822630	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	3.357178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	29	24.339538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	48	40.286132	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4903	4115.060551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	1.678589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	13	10.910827	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1880	1577.873513	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	1.678589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	4.196472	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2142	1797.768652	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	68	57.072021	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	1.678589	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.839294	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	1.678589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	5	4.196472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	8	6.714355	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	9	7.553650	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	69	57.911315	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2223	1865.751500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1867	1566.962686	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	4977	4177.168338	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	130	109.108275	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	2	1.678589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	1.678589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	10	8.392944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	55	46.161193	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	2.517883	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	4.196472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	9.232239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	12	10.071533	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.839294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	25	20.982361	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	33	27.696716	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	12	10.071533	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.839294	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.839294	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.839294	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.839294	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.839294	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.839294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	13.428711	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	33	27.696716	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1238	1039.046494	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	27706	23253.491255	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4447	3732.342294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7666	6434.031039	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2286	1918.627049	N	mature,MIMAT0000063
