miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.460288	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175981:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	2	0.460288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	3	0.690432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.460288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	2.991873	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	2.761729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	3.682305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	359	82.621728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11749	2703.962897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	15617	3594.160232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	25945	5971.088379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	762	175.369796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	21	4.833026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	2.301441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	24	5.523458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	44	10.126340	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	5	1.150720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.690432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	14	3.222017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	48	11.046916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.690432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.460288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.460288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	17	3.912450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.460288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.230144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	2	0.460288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.230144	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.460288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	4.142594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	8.975619	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	4.833026	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.460288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.460288	N	mature,MIMAT0004481
