miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.395218	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.395218	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.592827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.568917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	4.742616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	220	43.473982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9527	1882.621038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13798	2726.609120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26929	5321.413031	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	776	153.344592	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	19	3.754571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.592827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	3.359353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	37	7.311533	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	1.185654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.197609	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.197609	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	34	6.718706	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	72	14.227849	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	3.754571	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.197609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.197609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.395218	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	4.149789	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.988045	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.395218	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.197609	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	2.173699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	5	0.988045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	748	147.811539	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.592827	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	51	10.078060	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.580872	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	26720	5280.112748	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.592827	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	15	2.964135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13857	2738.268052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	9396	1856.734258	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	257	50.785516	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.197609	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112771:+	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.592827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	151	29.838961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	174	34.383968	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	90	17.784811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	0.592827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	231	45.647681	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9229	1823.733553	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	13688	2704.872129	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	26897	5315.089543	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	807	159.470471	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	11	2.173699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	1.580872	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	16	3.161744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	41	8.101969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	4	0.790436	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.395218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112778:+	1	0.197609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112798-46112821:+	1	0.197609	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.197609	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.395218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	35	6.916315	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	73	14.425458	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	20	3.952180	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	0.395218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.395218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.592827	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.197609	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	53	10.473278	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	74	14.623067	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3659	723.051368	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	67018	13243.360634	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	16439	3248.494516	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	36165	7146.529847	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	10512	2077.265913	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	11	2.173699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	13	2.568917	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	5	0.988045	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	0.988045	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.592827	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	2	0.395218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.197609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.197609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	8	1.580872	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.395218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	55	10.868496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	20	3.952180	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.197609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	10	1.976090	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	11	2.173699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.395218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.197609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.395218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113730-46113752:+	1	0.197609	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.197609	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	0.592827	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	84	16.599157	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	138	27.270043	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.197609	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	1	0.197609	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539857:+	9	1.778481	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	8	1.580872	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	6	1.185654	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539861:+	2	0.395218	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	33	6.521097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	155	30.629397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	95	18.772856	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	43	8.497187	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	0.790436	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1010	199.585100	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	5314	1050.094279	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	3222	636.696230	N	mature,MIMAT0000064
