miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	2	0.578214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	4	1.156428	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.867321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.578214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	4.336604	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.289107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	145	41.920503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3437	993.660464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3696	1068.539154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13211	3819.391442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	401	115.931873	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.734641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.867321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.734641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.578214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.289107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.289107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	11	3.180176	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	62	17.924629	N	mature,MIMAT0000062
