miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.217717	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.435435	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	2.394892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	2.612609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.741740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	745	162.199504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	19416	4227.202098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	33557	7305.944623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	43922	9562.586039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	534	116.261121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	3.483479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.870870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.653152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	2.177175	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	1.306305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	2.394892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	3.265762	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	34	7.402393	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	4.572067	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.435435	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.435435	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	0.870870	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.217717	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.306305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	512	111.471337	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	1.524022	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	19	4.136632	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.653152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	3.265762	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	44049	9590.236156	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.435435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.435435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	7	1.524022	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.435435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	1.524022	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	33918	7384.540624	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.653152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.653152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	19618	4271.181024	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.435435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	746	162.417221	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.217717	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.653152	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.653152	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	84	18.288266	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	155	33.746205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	39	8.490981	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	813	177.004291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	19634	4274.664503	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	33863	7372.566164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	43971	9573.254194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	533	116.043403	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.435435	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	4	0.870870	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.524022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	1.741740	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	22	4.789784	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	0.653152	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.217717	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	2.612609	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	4.572067	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	20	4.354349	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	0.435435	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	5	1.088587	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.435435	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.217717	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113710:+	1	0.217717	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	3.483479	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	69	15.022504	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2864	623.542790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	34846	7586.582422	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	15983	3479.778076	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	19778	4306.015816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1810	394.068593	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	0.870870	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.217717	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.870870	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.217717	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.435435	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	1.524022	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.088587	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.217717	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.653152	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.217717	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.435435	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	19	4.136632	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	78	16.981961	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.217717	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.435435	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	6	1.306305	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	22	4.789784	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	19	4.136632	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	7	1.524022	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	258	56.171103	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1323	288.040192	N	mature,MIMAT0000064
