miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.154575	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.618299	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.154575	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	2.009472	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	2.936921	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	32	4.946393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	0.463724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	931	143.909135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	19614	3031.830042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	42158	6516.564235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	87142	13469.956843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2158	333.572409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	59	9.119913	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.772874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.463724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	2.473197	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.309150	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.309150	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	44	6.801291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	141	21.795046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	9	1.391173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	0.927449	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	49	7.574165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	5	0.772874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	2	0.309150	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	4	0.618299	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.309150	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.154575	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	4	0.618299	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	6	0.927449	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	88	13.602582	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	192	29.678361	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	123	19.012700	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	5	0.772874	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.309150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.618299	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.154575	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.154575	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.463724	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.154575	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.154575	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	63	9.738212	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	18	2.782346	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.154575	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	6	0.927449	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.154575	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	22	3.400646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	3	0.463724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	0.154575	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.154575	N	mature,MIMAT0000062
