miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.441150	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	1.911652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	25	3.676254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	3.529204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1122	164.990270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	38965	5729.809169	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	74159	10905.092214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	81481	11981.793427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	914	134.403839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	19	2.793953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	1.617552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	1.764602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.294100	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.735251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	21	3.088053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	18	2.646903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.441150	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	0.735251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.588201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.147050	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.147050	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	1.323451	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	5.734956	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	29	4.264454	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.147050	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.294100	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.735251	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.147050	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.147050	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.441150	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.294100	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.147050	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.029351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	918	134.992039	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.294100	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.735251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	31	4.558555	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	1.617552	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	81358	11963.706258	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	11	1.617552	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	5	0.735251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	21	3.088053	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	3	0.441150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.588201	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	74099	10896.269205	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	11	1.617552	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.294100	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	39390	5792.305483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1151	169.254725	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.147050	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.147050	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.147050	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	15	2.205752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	15	2.205752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	361	53.085105	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	438	64.407967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	59	8.675959	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1127	165.725521	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	39354	5787.011678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	74391	10939.207850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	81881	12040.613487	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	924	135.874340	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	0.588201	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	7	1.029351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	15	2.205752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	4	0.588201	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	0.735251	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	16	2.352802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	22	3.235103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.147050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	0.882301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.147050	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.147050	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	22	3.235103	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	47	6.911357	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	2.646903	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.147050	N	mature,MIMAT0004481
