miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	4	2.557828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	2.557828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	4.476198	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	128	81.850486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4279	2736.236169	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2104	1345.417364	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4396	2811.052629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	127	81.211029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	3.197285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	2	1.278914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	7.673483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	4.476198	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	14	8.952397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.278914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	6.394569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	1.278914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.639457	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.278914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	6.394569	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	4.476198	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	1.278914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.639457	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.639457	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176034:+	1	0.639457	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	3.836742	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	1.278914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	1.278914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.639457	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	3.197285	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.639457	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	178	113.823332	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	3.197285	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	5.115655	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	18	11.510225	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4294	2745.828023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.639457	N	mature,MIMAT0000062
