miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.386538	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	9	3.478844	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	6	2.319230	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.159615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	214	82.719188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5423	2096.197005	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6906	2669.433250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12737	4923.337866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	172	66.484581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	2.705768	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	1.932691	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.159615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	16	6.184612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.546153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	5.798074	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	14.301916	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	26	10.049995	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.773077	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.773077	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	6	2.319230	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.159615	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.932691	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	1.159615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	158	61.073046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.159615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	3.478844	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12896	4984.797450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	1.546153	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6857	2650.492875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	1.159615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5363	2073.004709	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	228	88.130724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	3.092306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	69	26.671140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	82	31.696138	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	42	16.234607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	203	78.467268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5273	2038.216265	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7048	2724.321683	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12999	5024.610891	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	166	64.165352	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.159615	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.773077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.386538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	9	3.478844	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	3.865383	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	1.932691	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.773077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	18	6.957689	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	47	18.167298	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	31	11.982686	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	0.773077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.773077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.159615	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	2	0.773077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.773077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.386538	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.386538	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	3	1.159615	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.386538	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	67	25.898064	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	142	54.888433	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	4643	1794.697159	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	59343	22938.340189	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	16861	6517.421666	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	19801	7653.844162	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2299	888.651468	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	2.319230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	1	0.386538	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.386538	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	12	4.638459	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.773077	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	2.319230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.386538	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.386538	N	mature,MIMAT0000063
