miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	1.158669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	3	3.476008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	135	156.420361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	434	502.862493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2817	3263.971525	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	83	96.169555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	2.317339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	1.158669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	1.158669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	1.158669	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	1.158669	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	2.317339	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	13	15.062701	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	5.793347	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	2.317339	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	2.317339	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	93	107.756248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2839	3289.462250	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	2.317339	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	476	551.526605	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	146	169.165723	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1	1.158669	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	5	5.793347	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	9	10.428024	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	13	15.062701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	2	2.317339	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	135	156.420361	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	465	538.781242	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2859	3312.635637	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	85	98.486894	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	1.158669	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	1.158669	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	1.158669	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	15.062701	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	7	8.110685	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	1.158669	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113710:+	6	6.952016	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	714	827.289907	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	901	1043.961073	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5680	6581.241839	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1416	1640.675782	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	1.158669	N	mature,MIMAT0000063
