miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.475365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.237682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	2.139141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	30	7.130470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	67	15.924717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.475365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	438	104.104869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8450	2008.415857	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	35486	8434.395869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	90418	21490.762713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2096	498.182205	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	43	10.220341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	1.188412	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	40	9.507294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	150	35.652352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	7	1.663776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.237682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	1.188412	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	52	12.359482	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	249	59.182905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.950729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.237682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	9	2.139141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	53	12.597165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	5	1.188412	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	7	1.663776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	4	0.950729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.237682	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.237682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.237682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.237682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	17	4.040600	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	78	18.539223	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	103	24.481282	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.713047	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	5	1.188412	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.713047	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.188412	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.475365	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.237682	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	5.466694	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.950729	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	2.614506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	7	1.663776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	2	0.475365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	2	0.475365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.713047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	17	4.040600	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	7	1.663776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2166	514.819970	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	1.188412	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	48	11.408753	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	218	51.814752	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.237682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	156	37.078447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	90954	21618.160453	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.475365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.713047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	52	12.359482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.475365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	39	9.269612	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	35565	8453.172774	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.713047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	3	0.713047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	10	2.376823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	11	2.614506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8254	1961.830116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	449	106.719375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.237682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.237682	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	13	3.089871	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.237682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	138	32.800164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	284	67.501787	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	102	24.243600	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.237682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	443	105.293281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8317	1976.804104	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	35457	8427.503080	N	mature,MIMAT0000062
