miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.487115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.649487	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	3.572179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	56	9.092819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1676	272.135088	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7201	1169.239123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30572	4964.029782	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	736	119.505623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	2.760320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.649487	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.324744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.649487	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	27	4.384038	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	52	8.443332	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.162372	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.487115	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	9	1.461346	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.324744	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	0.811859	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.162372	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	18	2.922692	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	773	125.513379	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.324744	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.461346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	30385	4933.666260	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.649487	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7171	1164.367970	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.324744	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1719	279.117074	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	50	8.118589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.162372	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.162372	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	2	0.324744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.324744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	47	7.631473	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	139	22.569676	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	87	14.126344	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	35	5.683012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1752	284.475343	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7205	1169.888610	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	30403	4936.588952	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	779	126.487610	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.324744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	0.974231	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.162372	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.162372	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112795-46112818:+	1	0.162372	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	0.649487	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	30	4.871153	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	38	6.170127	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.162372	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.162372	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.162372	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.487115	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.162372	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.162372	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.162372	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	0.811859	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	2.760320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	470	76.314732	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	13411	2177.567820	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7010	1138.226114	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	29455	4782.660513	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6708	1089.189840	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	7	1.136602	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.487115	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	0.811859	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.324744	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.162372	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	0.811859	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.487115	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.162372	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.162372	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113713-46113738:+	1	0.162372	N	stemloop
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	0.811859	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	79	12.827370	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.162372	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	0.487115	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	13	2.110833	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	19	3.085064	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	25	4.059294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	59	9.579934	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	408	66.247683	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	399	64.786337	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3128	507.898900	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	181	29.389291	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.324744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.162372	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.324744	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.324744	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	33	5.358268	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.162372	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.162372	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	15	2.435577	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	84	13.639229	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	474	76.964219	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	47	7.631473	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.324744	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	0.487115	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	16	2.597948	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	78	12.664998	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	446	72.417810	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.162372	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	21	3.409807	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	2	0.324744	N	precursor
hsa-let-7e	hg38:chr19:51692792-51692815:+	1	0.162372	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.324744	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	15	2.435577	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	212	34.422815	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1212	196.794586	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	4777	775.649950	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	250	40.592943	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	47	7.631473	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.162372	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692795-51692817:+	1	0.162372	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	2	0.324744	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692858:+	1	0.162372	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.162372	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.162372	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	30	4.871153	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	96	15.587690	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176352-94176375:+	1	0.162372	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	0.649487	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	9	1.461346	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	10	1.623718	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	337	54.719287	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2615	424.602181	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	17110	2778.181001	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	93	15.100575	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	3	0.487115	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.162372	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.162372	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.162372	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	0.324744	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	0.487115	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	4	0.649487	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.162372	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	0.811859	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	3	0.487115	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.162372	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557221:-	1	0.162372	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	2	0.324744	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	500	81.185885	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.162372	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.324744	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	17171	2788.085679	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	26	4.221666	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2741	445.061024	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	6	0.974231	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	315	51.147108	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	2	0.324744	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	7	1.136602	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	5	0.811859	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	2	0.324744	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	1	0.162372	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	3	0.487115	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	38	6.170127	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268284-52268307:-	1	0.162372	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	63	10.229422	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1583	257.034513	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	13	2.110833	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	181	29.389291	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	2	0.324744	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	16	2.597948	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	4	0.649487	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	1	0.162372	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603711:+	1	0.162372	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	230	37.345507	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	142	23.056791	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	1023	166.106322	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	5	0.811859	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603693-62603712:+	1	0.162372	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	1	0.162372	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	11	1.786089	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	32	5.195897	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	54	8.768076	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603770:+	2	0.324744	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603748-62603768:+	1	0.162372	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554370:+	1	0.162372	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554372:+	1	0.162372	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	3	0.487115	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829014-21829037:-	1	0.162372	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	6	0.974231	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152240-122152262:-	2	0.324744	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152273-122152297:-	3	0.487115	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	7	1.136602	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	1	0.162372	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	1	0.162372	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	834	135.418057	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	1	0.162372	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	10	1.623718	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	4302	698.523359	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	1	0.162372	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	26	4.221666	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	8	1.298974	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	7	1.136602	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058438-65058461:-	1	0.162372	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	5	0.811859	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	1058	171.789334	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058464:-	4	0.649487	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058463:-	1030	167.242924	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058464:-	532	86.381782	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058461:-	2	0.324744	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058463:-	4497	730.185854	N	mature,MIMAT0000099
