miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.311623	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.311623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.311623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.869738	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	2.492985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.427854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.311623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	336	104.705353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8323	2593.638838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11793	3674.970902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20175	6286.995502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	364	113.430799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	2.492985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	2.492985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	24	7.478954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	62	19.320631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.311623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	2	0.623246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.311623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	7	2.181362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	2.804608	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	40	12.464923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.623246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.311623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.623246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	5.920838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	6	1.869738	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.311623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176006-94176029:+	1	0.311623	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.311623	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	24	7.478954	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	11.530054	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	4.051100	N	mature,MIMAT0004481
