miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.061765	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	16	0.988235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	34	2.100000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	44	2.717646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.061765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	499	30.820581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	23436	1447.517306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	35819	2212.349479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	75832	4683.740074	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1504	92.894096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	0.988235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.123529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	0.555882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	18	1.111764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.185294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	20	1.235294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.061765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.061765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.061765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	2	0.123529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.123529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.061765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.061765	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.061765	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176010-94176034:+	1	0.061765	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.061765	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	43	2.655882	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	94	5.805881	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	81	5.002940	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.061765	N	mature,MIMAT0004481
