miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	2	0.707995	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	1.415990	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.707995	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.061992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	2.123985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	341	120.713135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6645	2352.313143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9842	3484.043033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12658	4480.899890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	316	111.863198	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	14	4.955964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	1.415990	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	2.477982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	1.061992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	1.061992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	14	4.955964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	8.141942	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	1.415990	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	2.477982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175986:+	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	2.831980	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	27	9.557932	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	30	10.619924	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.353997	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	1.061992	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	1.061992	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.707995	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.061992	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	2.477982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	340	120.359138	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.061992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	26	9.203934	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12706	4497.891768	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.061992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	1.061992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	14	4.955964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9762	3455.723236	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6727	2381.340935	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	1.061992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	319	112.925191	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	1.415990	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	2.831980	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	74	26.195812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	59	20.885850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	22	7.787944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	344	121.775127	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6748	2388.774882	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9827	3478.733071	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12982	4595.595068	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	354	125.315102	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.415990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.353997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	12	4.247970	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	17	6.017957	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	5	1.769987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	8	2.831980	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.707995	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.353997	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.353997	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.769987	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	33	11.681916	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	44	15.575888	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.707995	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.707995	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.353997	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.707995	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.353997	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.707995	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.353997	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	5.663959	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	104	36.815736	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1809	640.381411	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	29320	10379.205623	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7124	2521.877928	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8516	3014.642397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1234	436.832870	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.353997	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	1.061992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	3	1.061992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.707995	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.353997	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.707995	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.353997	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	10	3.539975	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.707995	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.707995	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	19	6.725952	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	1.061992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.353997	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.707995	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	2	0.707995	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.707995	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	4.247970	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	68	24.071828	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.707995	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.353997	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	10	3.539975	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	37	13.097906	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	16	5.663959	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	7	2.477982	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	693	245.320242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2653	939.155270	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1838	650.647337	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3479	1231.557175	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	56	19.823858	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	2	0.707995	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	2	0.707995	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	1.415990	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	7	2.477982	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	2	0.707995	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.353997	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	2	0.707995	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	1.415990	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	17	6.017957	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539904:+	1	0.353997	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.353997	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	0.707995	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	5	1.769987	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.707995	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	163	57.701587	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	150	53.099619	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	178	63.011548	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	14	4.955964	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	2	0.707995	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	0.707995	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.353997	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178861:+	2	0.707995	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.353997	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.353997	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	2	0.707995	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	9	3.185977	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	9	3.185977	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	58	20.531853	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	267	94.517323	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	702	248.506219	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178911:+	1	0.353997	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	5	1.769987	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	11	3.893972	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	67	23.717830	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	0.353997	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	0.353997	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	3	1.061992	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.353997	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	2	0.707995	N	precursor
hsa-let-7e	hg38:chr19:51692776-51692793:+	1	0.353997	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.353997	N	mature,MIMAT0000066
