miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.464394	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.464394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.393182	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	3.018561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	140	32.507579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6532	1516.710753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12088	2806.797242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28622	6645.942311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	829	192.491307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	32	7.430304	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.232197	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.232197	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.232197	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.464394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.625379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.232197	N	stemloop
hsa-let-7a-1	hg38:chr9:94175997-94176019:+	1	0.232197	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.393182	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	5.108334	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	4.179546	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.232197	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	4.179546	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.464394	N	mature,MIMAT0010195
