miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	3.139650	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	4.186199	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	29	10.116648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	444	154.889376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9451	3296.980843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20843	7271.079432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36606	12770.001137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	922	321.639651	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	21	7.325849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.697700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	2.790800	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	23	8.023549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	63	21.977547	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.697700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	1.395400	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	24	8.372399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	85	29.652245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	2.441950	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.697700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.348850	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.348850	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	4.186199	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	36	12.558598	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	44	15.349398	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.348850	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.697700	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.697700	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.348850	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	39	13.605148	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	2.790800	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.348850	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	6	2.093100	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	13	4.535049	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.697700	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	983	342.919497	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.697700	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	9	3.139650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	60	20.930997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	56	19.535597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36344	12678.602451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	23	8.023549	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	31	10.814348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	20798	7255.381185	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.744250	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	9	3.139650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	3.139650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	9770	3408.263976	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	421	146.865827	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.697700	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.697700	N	precursor
hsa-let-7a-3	hg38:chr22:46112748-46112772:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	48	16.744797	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	88	30.698795	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	26	9.070099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	400	139.539979	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9692	3381.053680	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	20764	7243.520287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	36675	12794.071784	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1042	363.501644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	7	2.441950	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	28	9.767798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	58	20.233297	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.348850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	6	2.093100	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	30	10.465498	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	66	23.024096	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.697700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	2.441950	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	3	1.046550	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	3.488499	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	33	11.512048	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	36	12.558598	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.697700	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.348850	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.348850	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.348850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	36	12.558598	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	136	47.443593	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3259	1136.901975	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	77635	27082.965587	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	17149	5982.427731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	35251	12297.309460	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	9972	3478.731665	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.046550	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	4	1.395400	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	67	23.372946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	29	10.116648	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	96	33.489595	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	35	12.209748	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.348850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	2	0.697700	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	1	0.348850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	34	11.860898	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	12	4.186199	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	105	36.629244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	74	25.814896	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.348850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	1.046550	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	30	10.465498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	36	12.558598	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.348850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.348850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	5	1.744250	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	30	10.465498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	2	0.697700	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.348850	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	6	2.093100	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	131	45.699343	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	549	191.518621	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.348850	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	3	1.046550	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	4	1.395400	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.046550	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.697700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.697700	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	32	11.163198	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	115	40.117744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	69	24.070646	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	57	19.884447	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.697700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1504	524.670319	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	6253	2181.358715	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	5208	1816.810521	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	19023	6636.172530	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	842	293.731655	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	7	2.441950	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	3	1.046550	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	10	3.488499	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	10	3.488499	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	82	28.605696	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	5	1.744250	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	26	9.070099	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539858:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539859:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	5	1.744250	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	2	0.697700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539859:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539861:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.348850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	3	1.046550	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.348850	N	stemloop
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.348850	N	stemloop
hsa-let-7c	hg38:chr21:16539860-16539883:+	1	0.348850	N	stemloop
hsa-let-7c	hg38:chr21:16539877-16539899:+	2	0.697700	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539877-16539900:+	1	0.348850	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.348850	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	0.697700	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	9	3.139650	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	124	43.257393	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	416	145.121578	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	13	4.535049	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	1	0.348850	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539904:+	1	0.348850	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.348850	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.348850	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.348850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	3	1.046550	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.348850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	96	33.489595	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	218	76.049288	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	464	161.866375	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	42	14.651698	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.348850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	1.395400	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	16	5.581599	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.697700	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	1	0.348850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	4	1.395400	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	1	0.348850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.348850	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	9	3.139650	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	101	35.233845	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	298	103.957284	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	752	262.335160	N	mature,MIMAT0004484
