miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.262807	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.525614	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.051227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	2.365262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	34	8.935433	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	163	42.837515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3384	889.338347	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12619	3316.359516	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	44352	11656.008973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1880	494.076859	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	58	15.242797	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.051227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	4.730523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	67	17.608058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	1.051227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.525614	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	1.051227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.839648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	46	12.089115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.525614	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.525614	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	2.365262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	0.788421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.262807	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	2.102455	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	28	7.358592	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	37	9.723853	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.262807	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	7	1.839648	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	4	1.051227	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.628068	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.525614	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146587:-	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	18	4.730523	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	4	1.051227	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	1.051227	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	5	1.314034	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1828	480.410904	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.788421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	2.102455	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	44	11.563501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	85	22.338581	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	44227	11623.158118	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.314034	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	11	2.890875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	12	3.153682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12433	3267.477443	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	1.051227	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3262	857.275912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.262807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.262807	N	mature,MIMAT0000062
