miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.309905	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.309905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.859428	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	22	6.817902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	31	9.607044	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.619809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	374	115.904337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8072	2501.550298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	22293	6908.704261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	46292	14346.105847	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1111	344.304061	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	23	7.127807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.309905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	2.789142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	23	7.127807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	76	23.552753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.929714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.309905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.309905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	1.239619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	21	6.507998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	68	21.073516	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.929714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	1.549523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	18	5.578284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.619809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.619809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.619809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.309905	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.309905	N	stemloop
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.309905	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.309905	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.859428	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	6.507998	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	42	13.015995	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.309905	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.309905	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.309905	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	49	15.185328	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	12	3.718856	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.619809	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	19	5.888188	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.309905	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.309905	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	7	2.169333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	1.239619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1107	343.064443	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.929714	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	15	4.648570	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	68	21.073516	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	76	23.552753	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	46063	14275.137683	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.929714	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.619809	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	13	4.028760	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	20	6.198093	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	21838	6767.697647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.859428	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	3	0.929714	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	2.789142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8243	2554.543992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.239619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	2	0.619809	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	431	133.568902	N	mature,MIMAT0000062
