miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175981:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	7	2.584683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	1.107721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.846202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.476962	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	23	8.492531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	148	54.647593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4087	1509.085901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6853	2530.405109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15487	5718.427538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	353	130.341895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	3.323164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.738481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	2.215443	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	33	12.184936	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.738481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	3.323164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	34	12.554177	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	1.846202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.738481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.369240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.738481	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	2	0.738481	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	3.692405	N	mature,MIMAT0004481
