miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.686683	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.686683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.686683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	2.746732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	10.300245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.686683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	83	56.994691	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1562	1072.598875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5730	3934.693698	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19117	13127.319272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	404	277.419940	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	8.926879	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.686683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.686683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	6.180147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	15.107026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	1.373366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	2.060049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	6.866830	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.686683	N	mature,MIMAT0000062
