miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.406462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	3.656802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	50	14.064622	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2282	641.909368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4992	1404.211904	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17874	5027.821230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	725	203.937025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	27	7.594896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.843877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.843877	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	5.344557	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	30	8.438773	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.562585	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	1.969047	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.281292	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	4.781972	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	719	202.249271	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	1.406462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	1.406462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	17631	4959.467165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.125170	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5082	1429.528225	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.125170	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2292	644.722293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	47	13.220745	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	51	14.345915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	97	27.285368	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	95	26.722783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	5	1.406462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	52	14.627207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2263	636.564812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5052	1421.089451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	17419	4899.833165	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	815	229.253346	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	7	1.969047	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.406462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.281292	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.562585	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	1.125170	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	4.219387	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	29	8.157481	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.562585	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.281292	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.281292	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.562585	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.281292	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.281292	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.281292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.687755	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	4.781972	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	526	147.959828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16150	4542.873048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6172	1736.136994	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	20723	5829.223416	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	8450	2376.921192	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	13	3.656802	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	2	0.562585	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	1	0.281292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113718:+	2	0.562585	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	3	0.843877	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.281292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	11	3.094217	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.281292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.281292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.281292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	8	2.250340	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	1.125170	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.843877	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.281292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.562585	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	6	1.687755	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	62	17.440132	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.281292	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.281292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	1.125170	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.562585	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	21	5.907141	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	29	8.157481	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	48	13.502038	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	0.843877	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	107	30.098292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	528	148.522413	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	523	147.115951	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4607	1295.914312	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	409	115.048612	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	10	2.812924	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	1	0.281292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	1.406462	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.281292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.281292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	11	3.094217	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	40	11.251698	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	0.843877	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.281292	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.281292	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.281292	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	38	10.689113	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	99	27.847952	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	469	131.926158	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	83	23.347273	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.562585	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178870:+	2	0.562585	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.562585	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	1.406462	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.562585	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	11	3.094217	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	64	18.002717	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	331	93.107801	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.562585	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	0.843877	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	15	4.219387	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.281292	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.562585	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	3	0.843877	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	5	1.406462	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	202	56.821075	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1003	282.136326	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3169	891.415770	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	188	52.882980	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	30	8.438773	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.281292	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.281292	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.281292	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692858:+	1	0.281292	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.281292	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692860:+	2	0.562585	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	5	1.406462	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	7	1.969047	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	40	11.251698	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692859:+	1	0.281292	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	4	1.125170	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	11	3.094217	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	7	1.969047	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	321	90.294876	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1485	417.719286	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	6930	1949.356670	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	58	16.314962	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	8	2.250340	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176378:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	9	2.531632	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176380:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176381:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	8	2.250340	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.281292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	8	2.250340	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	6	1.687755	N	mature,MIMAT0000067
