miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.338831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	3	1.016493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.677662	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.338831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.694155	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.694155	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.727142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	177	59.973104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5322	1803.259081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8016	2716.070047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17271	5851.951820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	529	179.241649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	3.727142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.338831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.338831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	3.727142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	30	10.164933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	1.016493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.338831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	1.016493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	3.388311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	43	14.569737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.677662	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.677662	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	15	5.082466	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	1.016493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.338831	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	3.049480	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	28	9.487271	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	7.115453	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.338831	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.338831	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.338831	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.338831	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	6.776622	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.016493	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.677662	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.338831	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.338831	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.694155	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	0.338831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	1.016493	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.338831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	465	157.556459	N	mature,MIMAT0000062
