miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.738192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	3.128745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	7.300404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	26	9.038596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2235	776.971605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8118	2822.127734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28743	9992.167709	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	991	344.509557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	43	14.948447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	4	1.390553	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	7.995681	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.347638	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.738192	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146547:-	1	0.347638	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	29	10.081511	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	969	336.861514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	28498	9906.996325	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8128	2825.604117	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2134	741.860136	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	43	14.948447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	37	12.862617	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	100	34.763830	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	59	20.510660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.695277	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	41	14.253170	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2216	770.366477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8154	2834.642713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	28400	9872.927772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	913	317.393770	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	1.390553	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.042915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112783:+	1	0.347638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112796-46112818:+	1	0.347638	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	5	1.738192	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	20	6.952766	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.347638	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.347638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.042915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	16	5.562213	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	735	255.514152	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	34156	11873.933837	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	13625	4736.571862	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	46219	16067.494672	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	12810	4453.246646	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	16	5.562213	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.347638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	2.085830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.695277	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.390553	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.347638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.347638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.347638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	1.042915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113743-46113766:+	2	0.695277	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	30	10.429149	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	190	66.051277	N	mature,MIMAT0004482
