miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	2	1.076142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.076142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	3.228426	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	3	1.614213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	355	191.015184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1260	677.969385	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	6379	3432.354528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	197	105.999975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.614213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	5.918780	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	14	7.532993	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.538071	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	19	10.223348	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	1.076142	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	2.152284	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	218	117.299465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	6241	3358.100739	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.614213	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1304	701.644506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	318	171.106559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	4	2.152284	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.538071	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	16	8.609135	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	38	20.446696	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	45	24.213192	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	3	1.614213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	326	175.411127	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1265	680.659740	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	6236	3355.410384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	212	114.071039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	2	1.076142	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	1.076142	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.538071	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	5.918780	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	6.994922	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.538071	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	1.076142	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.538071	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.538071	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.538071	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.538071	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	38	20.446696	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1410	758.680026	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2253	1212.273829	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10675	5743.907288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2780	1495.837214	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.614213	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.538071	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	1.076142	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	2.152284	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	20	10.761419	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.538071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	2.152284	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.538071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.538071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	16	8.609135	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	4.842638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	20	10.761419	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.538071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	9	4.842638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	100	53.807094	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	357	192.091326	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2953	1588.923487	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	149	80.172570	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.538071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	2.152284	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	1.076142	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	42	22.598979	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.538071	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	7	3.766497	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	57	30.670044	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	332	178.639552	N	mature,MIMAT0000065
