miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.104327	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.208653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	1.356246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	40	4.173065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	600	62.595974	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13353	1393.073401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	40278	4202.067733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	93088	9711.556709	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1829	190.813394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	44	4.590371	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	0.834613	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	14	1.460573	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.312980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.312980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	30	3.129799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	51	5.320658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.208653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.417306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	18	1.877879	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.312980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.104327	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.104327	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.104327	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.208653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	29	3.025472	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	81	8.450456	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	100	10.432662	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.312980	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.104327	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	12	1.251919	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	8	0.834613	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.104327	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	6	0.625960	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.104327	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	0.417306	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.417306	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.208653	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146587:-	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	28	2.921145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	5	0.521633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146588:-	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1852	193.212906	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.208653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	16	1.669226	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	53	5.529311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.208653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	26	2.712492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	93451	9749.427273	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.417306	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.312980	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	28	2.921145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	0.625960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	40337	4208.223004	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.312980	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	0.417306	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13111	1367.826358	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	7	0.730286	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	559	58.318582	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.104327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	2	0.208653	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	9	0.938940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	0.730286	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	224	23.369164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	390	40.687383	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	147	15.336014	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.208653	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	568	59.257522	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	13205	1377.633061	N	mature,MIMAT0000062
