miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175959-94175982:+	2	0.208546	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175980:+	1	0.104273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	3	0.312819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	8	0.834184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	12	1.251276	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.104273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	3	0.312819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	1.355549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	21	2.189733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	39	4.066646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	640	66.734708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	17805	1856.580438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	40332	4205.537896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	67190	7006.101638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1242	129.507043	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	1.772641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	19	1.981187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	57	5.943560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	123	12.825577	N	mature,MIMAT0000062
