miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.180167	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.360334	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175979:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	4	0.720668	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	16	2.882673	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	21	3.783508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	3.783508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	548	98.731534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14591	2628.817176	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	18253	3288.588851	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	27378	4932.613026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	349	62.878294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	0.900835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.360334	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	21	3.783508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	43	7.747182	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	86	15.494365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.360334	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	12	2.162004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	50	9.008352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175988:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	3	0.540501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.540501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	3.423174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.180167	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.360334	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	30	5.405011	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	40	7.206681	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	1.981837	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.180167	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.540501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.720668	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.720668	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.180167	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.360334	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	1.081002	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	1.261169	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.180167	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	9	1.621503	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.180167	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.180167	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.360334	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	3	0.540501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.540501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.540501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	353	63.598963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	20	3.603341	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	53	9.548853	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.180167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	77	13.872862	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	27482	4951.350397	N	mature,MIMAT0000062
