miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	4.058024	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	2.029012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	43	29.082508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1422	961.751768	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3377	2283.991365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	6823	4614.650009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	152	102.803283	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	2.705350	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	4.058024	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.676337	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	1	0.676337	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	2.029012	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	2.029012	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.676337	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	164	110.919332	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	2.705350	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	2.705350	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	3.381687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	6803	4601.123261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3388	2291.431076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1450	980.689215	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	2.029012	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	53	35.845882	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	8.116049	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	24	16.232097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	13	8.792386	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	46	31.111520	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1378	931.992923	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3503	2369.209876	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	6716	4542.281908	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	163	110.242994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	2.705350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	2.029012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.676337	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	1.352675	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	2.029012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.676337	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	2	1.352675	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	1.352675	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.676337	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	2.705350	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	8.792386	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	560	378.748938	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15693	10613.762654	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4846	3277.530990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	11175	7558.070328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1839	1243.784459	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	1.352675	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.676337	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.676337	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	9	6.087037	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	3	2.029012	N	mature,MIMAT0000063
