miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	2.042029	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	4	4.084058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	3.063044	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	48	49.008697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1163	1187.439888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	926	945.459446	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2243	2290.135570	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	38	38.798552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	2.042029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	5.105073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	14	14.294203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	2.042029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	16	16.336232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	1.021015	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	5.105073	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	13.273189	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	1.021015	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	1.021015	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	1.021015	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	1.021015	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	4.084058	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	3.063044	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	48	49.008697	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	3.063044	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	9.189131	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	18	18.378261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2269	2316.681948	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	2.042029	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	7.147102	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	938	957.711621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1220	1245.637715	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	35	35.735508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	1.021015	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	28	28.588407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	48	49.008697	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	29	29.609421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	36	36.756523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1145	1169.061626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	905	924.018141	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2175	2220.706583	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	48	49.008697	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	1.021015	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	2.042029	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	2.042029	N	mature,MIMAT0000062
