miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.283432	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.984022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.417158	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.117749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	263	74.542534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6665	1889.072206	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16968	4809.268896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	33790	9577.156766	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	531	150.502227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	3.684612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	2.550885	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	31	8.786382	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	59	16.722470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	5.385202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.566863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.283432	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.700590	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	6.802361	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	7.652656	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.566863	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.566863	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	1.133727	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	6	1.700590	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.283432	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.566863	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	2.267454	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.417158	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.283432	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146586:-	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.133727	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.566863	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	571	161.839494	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.850295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	11	3.117749	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	50	14.171584	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.850295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	2.550885	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	34012	9640.078601	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.566863	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	1.133727	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	21	5.952065	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16869	4781.209159	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6750	1913.163900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	259	73.408807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.283432	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	17	4.818339	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	1.700590	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	170	48.183387	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	351	99.484523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	140	39.680436	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	231	65.472720	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6836	1937.539025	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16840	4772.989640	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	34202	9693.930622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	596	168.925287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.566863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	14	3.968044	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.566863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	34	9.636677	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	45	12.754426	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	0.850295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.566863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	16	4.534907	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.283432	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.566863	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.550885	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	27	7.652656	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	33	9.353246	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.283432	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.283432	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	11	3.117749	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.566863	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	2	0.566863	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.283432	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113709:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	3.968044	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	75	21.257377	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1740	493.171139	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	34419	9755.435299	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8750	2480.027277	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13463	3815.840827	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1538	435.917937	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	12	3.401180	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.850295	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.566863	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	62	17.572765	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	13	3.684612	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	2	0.566863	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	19	5.385202	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	6	1.700590	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.566863	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.283432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.283432	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	20	5.668634	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	59	16.722470	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	4	1.133727	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.850295	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.283432	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	11	3.117749	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	54	15.305311	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	49	13.888153	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	24	6.802361	N	mature,MIMAT0000064
