miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.629316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.629316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.629316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	10.069055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	59	37.129640	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1409	886.706142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3605	2268.683918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13794	8680.783901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	421	264.942005	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	4.405211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.887948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	9.439739	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	1.258632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.258632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	11.957003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	4.405211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	1.258632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.629316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.629316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.629316	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.629316	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.887948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	11.327687	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	39	24.543321	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.629316	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.629316	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.629316	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.629316	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.629316	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	53	33.353744	N	mature,MIMAT0010195
