miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.341368	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.113789	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	12	1.365470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	1.820627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	2.503362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	340	38.688329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	12499	1422.251251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20642	2348.836733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	49744	5660.330125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	944	107.417008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	2.730941	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.227578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.113789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	1.251681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.113789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.113789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.113789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	12	1.365470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.227578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.455157	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.113789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.113789	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	1.479260	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	48	5.461882	N	mature,MIMAT0004481
