miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.149731	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.299462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.598924	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.299462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	67	10.031984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2458	368.039057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5828	872.632882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12887	1929.584755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	258	38.630625	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.048118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.449193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.598924	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	0.898387	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	0.449193	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.149731	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.449193	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.149731	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.299462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	254	38.031701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12749	1908.921863	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5962	892.696850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2534	379.418621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	61	9.133597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	41	6.138975	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	57	8.534673	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	2.994622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	53	7.935749	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2516	376.723461	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6095	912.611087	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12814	1918.654385	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	283	42.373903	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.449193	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.149731	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	0.898387	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	9	1.347580	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	0.449193	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.299462	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.299462	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	0.898387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	314	47.015567	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4995	747.906871	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1941	290.628076	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3973	594.881682	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	770	115.292951	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.149731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.149731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.299462	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.149731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	0.449193	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	29	4.342202	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.149731	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.149731	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	0.598924	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	9	1.347580	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	3	0.449193	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	1	0.149731	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.149731	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	41	6.138975	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	342	51.208038	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	287	42.972827	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1393	208.575430	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	44	6.588169	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.149731	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539901:+	1	0.149731	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.149731	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	0.598924	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	11	1.647042	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178822-94178841:+	1	0.149731	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.149731	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	47	7.037362	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	56	8.384942	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	166	24.855363	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	13	1.946504	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.149731	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	28	4.192471	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	80	11.978488	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	130	19.465044	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.149731	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.299462	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	12	1.796773	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	4	0.598924	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.149731	N	precursor
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.149731	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692812:+	18	2.695160	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	400	59.892442	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1404	210.222472	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2983	446.647887	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	106	15.871497	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	7	1.048118	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692815-51692838:+	1	0.149731	N	stemloop
hsa-let-7e	hg38:chr19:51692836-51692856:+	1	0.149731	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.299462	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	9	1.347580	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	11	1.647042	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692859:+	1	0.149731	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	0.299462	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	4	0.598924	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	20	2.994622	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	600	89.838663	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2031	304.103875	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	6351	950.942250	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	28	4.192471	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.299462	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.149731	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	1	0.149731	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	6	0.898387	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	1	0.149731	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.149731	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	0.598924	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	2	0.299462	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	136	20.363430	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	6432	963.070470	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	10	1.497311	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2045	306.200111	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	1	0.149731	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	583	87.293234	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	24	3.593547	N	mature,MIMAT0000067
