miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	5.169749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	2.584874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	319	117.796417	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9769	3607.376788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7351	2714.487334	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11947	4411.641979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	324	119.642756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	3.692678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	2.584874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	12	4.431213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	32	11.816568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	1.107803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	2.584874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	6.277552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	2.954142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.369268	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	3.323410	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	9.231694	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	31	11.447301	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.369268	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.369268	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	3.692678	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	15	5.539016	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.738536	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.477071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	3	1.107803	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	342	126.289575	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.477071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	4.431213	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	45	16.617049	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12048	4448.938023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	2.215607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	13	4.800481	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7254	2678.668361	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	8	2.954142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	9691	3578.573903	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.477071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	303	111.888133	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.369268	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.369268	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.369268	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.107803	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	42	15.509246	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	34	12.555104	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	8.862426	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	302	111.518865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9864	3642.457226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7360	2717.810744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12171	4494.357958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	328	121.119827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	9	3.323410	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	16	5.908284	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	33	12.185836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	9	3.323410	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	21	7.754623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	2.215607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.738536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.369268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.846339	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	20	7.385355	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	23	8.493159	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.369268	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	1.107803	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.107803	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.369268	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.369268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.369268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	30	11.078033	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	130	48.004809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3019	1114.819380	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	102933	38009.838770	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	17535	6475.110245	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	30928	11420.713411	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6763	2497.357889	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.369268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.738536	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	85	31.387760	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	24	8.862426	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	132	48.743345	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	32	11.816568	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.369268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	9	3.323410	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	5	1.846339	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	60	22.156066	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	32	11.816568	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	3	1.107803	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	1.107803	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	29	10.708765	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	30	11.078033	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.738536	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	3	1.107803	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.369268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	3	1.107803	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	7	2.584874	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	28	10.339497	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	128	47.266274	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	4	1.477071	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.369268	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	1.477071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.369268	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539855:+	1	0.369268	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.369268	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	21	7.754623	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	131	48.374077	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	47	17.355585	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	36	13.293640	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.369268	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1695	625.908860	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	7752	2862.563708	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4220	1558.309965	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	15786	5829.260925	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	575	212.328964	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	1.846339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	7	2.584874	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	9	3.323410	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	62	22.894601	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	14	5.169749	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539861:+	1	0.369268	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	2	0.738536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	2	0.738536	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.369268	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	9	3.323410	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	28	10.339497	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	101	37.296044	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.369268	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.369268	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.738536	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.369268	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	60	22.156066	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	93	34.341902	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	218	80.500373	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	10	3.692678	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	4	1.477071	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.738536	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	19	7.016088	N	mature,MIMAT0000065
