miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.312442	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	2	0.624885	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.312442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175985:+	1	0.312442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	2.499540	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.562212	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	3.749310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	272	84.984358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7177	2242.399758	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7137	2229.902059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11809	3689.633377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	111	34.681117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	0.937327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.249770	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	3.436867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	26	8.123505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.312442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.312442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.624885	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.562212	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	18	5.623965	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.937327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	2.187097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.312442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.312442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	2	0.624885	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	3.749310	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	8	2.499540	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.562212	N	mature,MIMAT0004481
