miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.255401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.766202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	21	2.681705	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	45	5.746511	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	322	41.119482	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8443	1078.173243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	21607	2759.219384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	54849	7004.231220	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1451	185.293068	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	32	4.086408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	0.766202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	19	2.426305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	102	13.025426	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.127700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.255401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	19	2.426305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	81	10.343721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	14	1.787804	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.255401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.127700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	7	0.893902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.127700	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.127700	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.127700	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.127700	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.255401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	26	3.320207	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	117	14.940930	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	142	18.133436	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.255401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.255401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.510801	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	9	1.149302	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.127700	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.255401	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	159	20.304340	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	64	8.172816	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	12	1.532403	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.127700	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.127700	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	25	3.192506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	4	0.510801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	0.510801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1371	175.077048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	0.510801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	13	1.660103	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	104	13.280826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	111	14.174728	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	54962	7018.661349	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.255401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.255401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	20	2.554005	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	26	3.320207	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	21566	2753.983673	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	8	1.021602	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.255401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	0.766202	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8524	1088.516963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.255401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	320	40.864081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.255401	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.127700	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.127700	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.127700	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.127700	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	1.404703	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	109	13.919328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	338	43.162686	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	226	28.860257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	325	41.502582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8223	1050.079187	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	21568	2754.239074	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	55008	7024.535561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1385	176.864852	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	6	0.766202	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.127700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	10	1.277003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	29	3.703307	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	91	11.620723	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	9	1.149302	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112777:+	1	0.127700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.127700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	3	0.383101	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	22	2.809406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	86	10.982222	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	5	0.638501	N	mature,MIMAT0000062
