miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.166937	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.168557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.335494	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	0.834684	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.166937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	351	58.594806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	12911	2155.320642	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17238	2877.656047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26091	4355.547275	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	406	67.776329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.001621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.166937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.001621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.166937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.500810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	16	2.670988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.166937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.667747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	0.834684	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	4	0.667747	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.500810	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	23	3.839546	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	75	12.520258	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	39	6.510534	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.166937	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.333874	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.667747	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	1.669368	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.333874	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.333874	N	mature,MIMAT0000062
