miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	1.262786	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.894179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	5.051143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	7	4.419750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	474	299.280212	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1951	1231.847455	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9767	6166.813992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	482	304.331355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	8.208107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	1.262786	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.262786	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	18.941786	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	66	41.671928	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	1.262786	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	2.525571	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.631393	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	5.682536	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.631393	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.631393	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	5.051143	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	526	332.112640	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9534	6019.699457	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	3.788357	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1978	1248.895063	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	2.525571	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	435	274.655891	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.631393	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	18	11.365071	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	50	31.569643	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	40	25.255714	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	7	4.419750	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	460	290.440712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1939	1224.270741	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9801	6188.281349	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	484	305.594141	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	1.262786	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.631393	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	32	20.204571	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	57	35.989393	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	1.262786	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	4	2.525571	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	1.262786	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.631393	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.631393	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.631393	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	19	11.996464	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	2800	1767.899987	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3263	2060.234878	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17099	10796.186387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7354	4643.263038	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	5.051143	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	7	4.419750	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.631393	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	1.262786	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.262786	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	1	0.631393	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	37	23.361536	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.631393	N	mature,MIMAT0004482
