miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.761988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	3.809939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	29	11.048823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.761988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	155	59.054053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3596	1370.054033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10330	3935.666896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31269	11913.297982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	875	333.369655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	38	14.477768	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	1.142982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	2.285963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	8.381866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.761988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	3.428945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.523976	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	2.285963	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	3.809939	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	8.381866	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.761988	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.761988	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.380994	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	3.809939	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	2.666957	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	2.666957	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	1.142982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	937	356.991276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.523976	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	3.428945	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	21	8.000872	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31457	11984.924834	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	2.285963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.761988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	2.285963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10440	3977.576224	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	1.142982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.761988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	1.142982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3796	1446.252811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	170	64.768961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	1.904969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	1.523976	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	62	23.621621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	127	48.386224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	81	30.860505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	154	58.673059	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3793	1445.109829	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10238	3900.615458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	31183	11880.532508	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	917	349.371398	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	1.904969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	9	3.428945	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	27	10.286835	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.761988	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	1.523976	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	3.809939	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	1.142982	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112758-46112775:+	1	0.380994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	0.761988	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.761988	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	5.714908	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	26	9.905841	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.761988	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.142982	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	4	1.523976	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.761988	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	2	0.761988	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.380994	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	24	9.143853	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	64	24.383609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1822	694.170870	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	42523	16201.003233	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	13523	5152.180390	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	35704	13603.005889	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	11235	4280.466367	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	11	4.190933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	1	0.380994	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	3	1.142982	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	20	7.619878	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	10	3.809939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	45	17.144725	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	23	8.762859	N	mature,MIMAT0000063
