miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.229541	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.147706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	17	3.902200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	37	8.493023	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	243	55.778504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5181	1189.252791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17323	3976.341651	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48693	11177.048087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1130	259.381520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	32	7.345317	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.688624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	4.590823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	82	18.822376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	0.918165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	14	3.213576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	43	9.870270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.918165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	12	2.754494	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.459082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.229541	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.918165	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	6.886235	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	5.279447	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.229541	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.459082	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.229541	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.295412	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.377247	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.229541	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.229541	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146566:-	1	0.229541	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.688624	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.688624	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1069	245.379508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.918165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	64	14.690635	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	71	16.297423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	49121	11275.291707	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	1.836329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	0.918165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	12	2.754494	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	20	4.590823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17240	3957.289734	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.147706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.459082	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	0.918165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5055	1160.330604	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.918165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	244	56.008045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.229541	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.459082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.459082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	77	17.674670	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	161	36.956128	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	102	23.413199	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	4	0.918165	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	276	63.353362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5224	1199.123061	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	17267	3963.487346	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	49006	11248.894472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1070	245.609050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.688624	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	17	3.902200	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	77	17.674670	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	0.688624	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	3	0.688624	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	10	2.295412	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	48	11.017976	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	0.688624	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	12	2.754494	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.229541	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.459082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	0.459082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.688624	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	28	6.427153	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	35	8.033941	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.459082	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.459082	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.459082	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.229541	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	0.229541	N	precursor
hsa-let-7b	hg38:chr22:46113687-46113713:+	1	0.229541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.229541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.229541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.229541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	3.213576	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	60	13.772470	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1882	431.996478	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	39421	9048.742378	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	12147	2788.236566	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	29264	6717.292736	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5763	1322.845750	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.688624	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.229541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	38	8.722564	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	16	3.672659	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	60	13.772470	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	23	5.279447	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	11	2.524953	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.459082	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	51	11.706600	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	28	6.427153	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	19	4.361282	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	14	3.213576	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.229541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.459082	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113719:+	1	0.229541	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	3	0.688624	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	9	2.065871	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	4	0.918165	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.229541	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.459082	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	109	25.019987	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	518	118.902325	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.459082	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	4	0.918165	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.459082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	7	1.606788	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.459082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.229541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	24	5.508988	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	70	16.067882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	39	8.952106	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	50	11.477058	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.229541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	676	155.169829	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2556	586.707225	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2443	560.769073	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	9166	2103.974345	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	380	87.225644	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.459082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	3	0.688624	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.229541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	5	1.147706	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	22	5.049906	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.459082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539861:+	1	0.229541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.229541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	9	2.065871	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.459082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.229541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.229541	N	mature,MIMAT0000064
