miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	2.374801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	3.958002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	4.353803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	118	46.704429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3842	1520.664533	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6387	2527.976151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11593	4588.512215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	259	102.512263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.187401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.583201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.187401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	3.562202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.979001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.395800	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.395800	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	2.770602	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	3.166402	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.395800	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.791600	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	7.124404	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.395800	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.979001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	260	102.908063	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	3.562202	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11466	4538.245584	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.791600	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	1.187401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6410	2537.079556	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.791600	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	1.187401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3866	1530.163739	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	149	58.974236	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.395800	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.791600	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	18	7.124404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	45	17.811011	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	7.520205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	122	48.287630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3926	1553.911753	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6379	2524.809749	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	11667	4617.801433	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	272	107.657666	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.791600	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	1.187401	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	12	4.749603	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.791600	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.979001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112786:+	1	0.395800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	6	2.374801	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	7.124404	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.395800	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.395800	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.395800	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	18	7.124404	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	54	21.373213	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1088	430.630664	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	27049	10706.000767	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6874	2720.730869	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13672	5411.380919	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2878	1139.113099	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.791600	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.395800	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.395800	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	19	7.520205	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	6	2.374801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	13	5.145403	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	8	3.166402	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.395800	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.395800	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	2.374801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.395800	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	1.187401	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	4	1.583201	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.791600	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	0.791600	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.395800	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	10	3.958002	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	95	37.601023	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.791600	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.395800	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.395800	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.791600	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	3	1.187401	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.395800	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	12	4.749603	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	61	24.143815	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	38	15.040409	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	33	13.061408	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	668	264.394562	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3023	1196.504134	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2326	920.631365	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	9374	3710.231476	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	387	153.174694	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	1.979001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	2	0.791600	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	1.187401	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	13	5.145403	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.395800	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	4	1.583201	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.791600	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539883:+	1	0.395800	N	stemloop
hsa-let-7c	hg38:chr21:16539870-16539892:+	1	0.395800	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	18	7.124404	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	115	45.517028	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	5	1.979001	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	2	0.791600	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.395800	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.395800	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.395800	N	mature,MIMAT0000065
