miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.183098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	2.929564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	34	6.225323	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	352	64.450403	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8296	1518.978813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20381	3731.714945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	43761	8012.539998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	699	127.985317	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	2.197173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	1.647880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	28	5.126737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	104	19.042164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	0.732391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.183098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.732391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	16	2.929564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	69	12.633744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.732391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.183098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.366195	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	16	2.929564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.549293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.183098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.366195	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.183098	N	mature,MIMAT0004481
