miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	2	1.726849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.863424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	6.907395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	5	4.317122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	288	248.666225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1203	1038.699545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8376	7232.042715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	306	264.207864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	4.317122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.863424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.863424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	1.726849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.863424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.863424	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.863424	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	10.361093	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	28	24.175883	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.863424	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.863424	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	2.590273	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.863424	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	5.180546	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	291	251.256498	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	1.726849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	1.726849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8319	7182.827525	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	19	16.405063	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1148	991.211203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	1.726849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	312	269.388411	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	7	6.043971	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	16	13.814790	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	95	82.025317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	94	81.161893	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	1.726849	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	3	2.590273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	285	246.075952	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1139	983.440384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8083	6979.059368	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	294	253.846772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	4.317122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	1.726849	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.863424	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	8.634244	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	26	22.449034	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.863424	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.863424	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	2.590273	N	mature,MIMAT0004481
