miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.374860	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.499438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	4.498314	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	86	16.118959	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2923	547.857191	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10829	2029.676879	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	39932	7484.445204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1389	260.339938	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	49	9.184058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.374860	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.499438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.562289	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.187430	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	3	0.562289	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176034:+	1	0.187430	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.187430	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.187430	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	17	3.186306	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	38	7.122331	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.374860	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.187430	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.937149	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.187430	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	2.624017	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.187430	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	35	6.560042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1413	264.838252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.374860	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	0.749719	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	39843	7467.763955	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	1.686868	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10825	2028.927160	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	10	1.874298	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3051	571.848200	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	94	17.618398	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.187430	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.187430	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	36	6.747471	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	129	24.178439	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	118	22.116712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.374860	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	95	17.805827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3103	581.594547	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10869	2037.174069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	39685	7438.150053	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1363	255.466764	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.749719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112781:+	1	0.187430	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.562289	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	0.749719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.562289	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	3.561165	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	36	6.747471	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.374860	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.562289	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.187430	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.187430	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.124579	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	26	4.873174	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	552	103.461228	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16057	3009.559668	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7468	1399.725453	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	29862	5597.027514	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	10037	1881.232508	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	11	2.061727	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113718:+	1	0.187430	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	0.749719	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	0.937149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.187430	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.562289	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.562289	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.187430	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.187430	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113741-46113764:+	1	0.187430	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	0.937149	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	71	13.307513	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	3	0.562289	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	1	0.187430	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	5	0.937149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	9	1.686868	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	3	0.562289	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.187430	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	0.937149	N	mature,MIMAT0000064
