miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	3.361744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	7.844069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	24	26.893950	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	507	568.134703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2003	2244.524280	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	6077	6809.772365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	208	233.080904	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	13.446975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	5.602906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	3.361744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	2.241163	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	5.602906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	3.361744	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	10.085231	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	17.929300	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	1.120581	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	1.120581	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	25.773369	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	5.602906	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	4.482325	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	206	230.839741	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	5.602906	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	8.964650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	6065	6796.325390	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1849	2071.954764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	1.120581	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	557	624.163766	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	28	31.376276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	1.120581	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	2.241163	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	9	10.085231	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	23	25.773369	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	17	19.049882	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	25	28.014532	N	mature,MIMAT0000062
