miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175981:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.666814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.666814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.667477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	221	73.682951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7341	2447.540907	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5359	1786.728200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11303	3768.499505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	363	121.026747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	2.667256	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	1.667035	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	14	4.667698	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	77	25.672340	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.666814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	2.333849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	28	9.335396	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	13	4.334291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	1.000221	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.333407	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.333407	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.333628	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	5.334512	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	29	9.668803	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	1.333628	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	1.000221	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.333407	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.333407	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	5.001105	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	2.333849	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.333407	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	3.000663	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	367	122.360375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	11	3.667477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	30	10.002210	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.666814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	55	18.337386	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11271	3757.830481	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	10	3.334070	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	19	6.334733	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5443	1814.734390	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	1.000221	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	3.000663	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7385	2462.210815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	252	84.018568	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.333407	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.333407	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	2.667256	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.666814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	70	23.338491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	75	25.005526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	35	11.669246	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	255	85.018789	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7575	2525.558148	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5341	1780.726874	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	11294	3765.498842	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	336	112.024757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.666814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	17	5.667919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	22	7.334954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	66	22.004863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	3	1.000221	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.000221	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	30	10.002210	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.666814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	2.333849	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	4	1.333628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112775:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.333407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.667035	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	20	6.668140	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	36	12.002653	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.666814	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.666814	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.666814	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	4	1.333628	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.666814	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	39	13.002874	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	115	38.341807	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3509	1169.925220	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	112322	37448.942883	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	18783	6262.383987	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	36688	12232.036613	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	8550	2850.629989	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.000221	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113708:+	1	0.333407	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	5	1.667035	N	mature,MIMAT0000063
