miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.803093	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	4.818557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	41	32.926808	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1126	904.282573	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2946	2365.911599	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10454	8395.532876	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	185	148.572181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	4.818557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	2.409279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	8.834022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	1.606186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	10.440207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	4.015464	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	8.030929	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	12.046393	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	1.606186	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	4.015464	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	1.606186	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	2.409279	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	2.409279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	1.606186	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	188	150.981460	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	9.637114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	12.046393	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10322	8289.524617	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	2.409279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2904	2332.181698	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1134	910.707316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	52	41.760829	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	26	20.880415	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	56	44.973201	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	61	48.988665	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	59	47.382479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1161	932.390824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2909	2336.197163	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10376	8332.891632	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	198	159.012389	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	15	12.046393	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.606186	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	8.834022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.803093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	2.409279	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	3.212371	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	6	4.818557	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	14.455672	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.803093	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.803093	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.803093	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.803093	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	5.621650	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	29	23.289693	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1420	1140.391877	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	26306	21126.161072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5983	4804.904649	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13923	11181.462047	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2338	1877.631133	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	3.212371	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	1	0.803093	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	1.606186	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	20	16.061857	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	1.606186	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	20	16.061857	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	5	4.015464	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.803093	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	6	4.818557	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	4	3.212371	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	12	9.637114	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	4.015464	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	6	4.818557	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.803093	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.803093	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	12.046393	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	55	44.170108	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.803093	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	1.606186	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	7	5.621650	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	2	1.606186	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	5	4.015464	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	38	30.517529	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	194	155.800017	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	191	153.390738	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	783	628.821718	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	38	30.517529	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	1.606186	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.803093	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.803093	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.803093	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	3.212371	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	20	16.061857	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	31	24.895879	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	101	81.112380	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	445	357.376328	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	30	24.092786	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178859:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	13	10.440207	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	3	2.409279	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	3	2.409279	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.803093	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.803093	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.803093	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	2	1.606186	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	1.606186	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	44	35.336086	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	321	257.792812	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1076	864.127929	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	3.212371	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	1.606186	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	5.621650	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	43	34.532993	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.803093	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	5	4.015464	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	3	2.409279	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	40	32.123715	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	281	225.669097	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	884	709.934098	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	49	39.351551	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	6	4.818557	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.803093	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.803093	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	1.606186	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	2.409279	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	11	8.834022	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.803093	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	1.606186	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	10	8.030929	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	13	10.440207	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	223	179.089710	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	913	733.223791	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	5092	4089.348900	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	33	26.502065	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	3	2.409279	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	2	1.606186	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	14	11.243300	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176373:+	1	0.803093	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.803093	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	2	1.606186	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	1.606186	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176408-94176430:+	1	0.803093	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	3.212371	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176412-94176430:+	1	0.803093	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557245-53557265:-	1	0.803093	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	80	64.247430	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	3	2.409279	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	1	0.803093	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	16	12.849486	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	5053	4058.028279	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	7	5.621650	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557264:-	1	0.803093	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	3	2.409279	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	964	774.181528	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	3	2.409279	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	214	171.861874	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	16	12.849486	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	21	16.864950	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	3	2.409279	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	2	1.606186	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557253-53557268:-	1	0.803093	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.803093	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	3	2.409279	N	precursor
hsa-let-7f-2	hg38:chrX:53557269-53557288:-	1	0.803093	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	3	2.409279	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	9	7.227836	N	mature,MIMAT0004584
