miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.543632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	2.718161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.087264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	8.154483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.543632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	20	10.872644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1177	639.855089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2631	1430.296296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9368	5092.746370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	301	163.633290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	2.174529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.543632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.174529	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	21.201655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	70	38.054253	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.543632	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.543632	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.543632	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.543632	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	3.261793	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	2.718161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.543632	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	310	168.525979	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9509	5169.398509	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.087264	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2634	1431.927192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.543632	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1160	630.613342	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	14	7.610851	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.543632	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.543632	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	24	13.047173	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	40	21.745288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	29	15.765334	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	18	9.785379	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1123	610.498951	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2586	1405.832847	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9460	5142.760532	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	320	173.962301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.543632	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	1.087264	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	1.087264	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	33	17.939862	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	61	33.161564	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.543632	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.543632	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	5	2.718161	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	3	1.630897	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	168	91.330208	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9753	5302.044764	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4831	2626.287117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17739	9643.491445	N	mature,MIMAT0000063
