miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.167733	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.503200	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.167733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.167733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.670933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	20	3.354666	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	2.348266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	333	55.855192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9333	1565.454989	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	30443	5106.305179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	52950	8881.478804	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	839	140.728248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.341866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.503200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.341866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	29	4.864266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.335467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	6	1.006400	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.670933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	22	3.690133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.167733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	1.509600	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.167733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.167733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.167733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.167733	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	1.509600	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	6.206132	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	4.193333	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.167733	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.167733	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.503200	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.167733	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	3	0.503200	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	1.174133	N	mature,MIMAT0010195
