miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	1.867790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	6.537266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	5	4.669476	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	398	371.690276	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1225	1144.021577	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5439	5079.455801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	136	127.009742	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	3.735581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.933895	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.933895	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	6.537266	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	31	28.950750	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.933895	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.933895	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	2.801685	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	8.405056	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.933895	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	2.801685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	150	140.084275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	2.801685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5622	5250.358616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.867790	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1233	1151.492738	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	2.801685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	454	423.988405	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	5	4.669476	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	13	12.140637	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	33	30.818540	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	35	32.686331	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	1.867790	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	3	2.801685	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	405	378.227542	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1149	1073.045544	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	5516	5151.365728	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	151	141.018170	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.933895	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	2.801685	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	9.338952	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	24	22.413484	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	3.735581	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.933895	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.933895	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	1.867790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	3	2.801685	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	92	85.918355	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	5394	5037.430518	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3518	3285.443189	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12840	11991.213914	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2405	2246.017871	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.933895	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	1.867790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.933895	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.933895	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	1	0.933895	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	18	16.810113	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.933895	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.933895	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	7	6.537266	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	8.405056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	7	6.537266	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	13	12.140637	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	126	117.670791	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	266	248.416114	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1903	1777.202498	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	122	113.935210	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	2.801685	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	5.603371	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	35	32.686331	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	2.801685	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	8	7.471161	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	48	44.826968	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	218	203.589146	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	7	6.537266	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	3.735581	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	14	13.074532	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	3	2.801685	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	3	2.801685	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	8	7.471161	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	80	74.711613	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	461	430.525671	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	4.669476	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	1	0.933895	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	15	14.008427	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.933895	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692813:+	22	20.545694	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	204	190.514614	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	800	747.116132	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	34	31.752436	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	1	0.933895	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.933895	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	2.801685	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	13	12.140637	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	1	0.933895	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	42	39.223597	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	359	335.268364	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	1654	1544.662602	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	26	24.281274	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.933895	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.933895	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.933895	N	mature,MIMAT0000067
