miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.837912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	5.513736	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	59	36.145604	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1359	832.574174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3766	2307.192301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9905	6068.173060	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	300	183.791208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	4.288462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	1.837912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.837912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	6.739011	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	4.901099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.225275	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	3.063187	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	6.739011	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.612637	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.612637	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.612637	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	12.252747	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.837912	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	335	205.233516	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	13	7.964286	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	6.126374	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9806	6007.521962	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.837912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3704	2269.208785	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1268	776.824174	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	70	42.884615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.612637	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	17	10.414835	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	49	30.019231	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	29	17.766483	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	1.837912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	48	29.406593	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1317	806.843404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3672	2249.604389	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9753	5975.052181	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	278	170.313186	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	7	4.288462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.612637	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	1.837912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	5.513736	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	8.576923	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.225275	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.612637	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	6.739011	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	10.414835	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.612637	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.612637	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.612637	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	12	7.351648	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	26	15.928571	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	838	513.390108	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16853	10324.777444	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5469	3350.513727	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	15323	9387.442282	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4396	2693.153839	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.612637	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	10	6.126374	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	6	3.675824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	16	9.802198	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	1.225275	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	3	1.837912	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	17	10.414835	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	11	6.739011	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	3.063187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	4	2.450549	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.612637	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.612637	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.612637	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	4	2.450549	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	4.901099	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	35	21.442308	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.612637	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	1.225275	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	1.225275	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.612637	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	1.837912	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	21	12.865385	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	19	11.640110	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	29	17.766483	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.612637	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	163	99.859890	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	777	476.019229	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	810	496.236262	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3850	2358.653840	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	332	203.395604	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	2	1.225275	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	8	4.901099	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	1.225275	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	4	2.450549	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539859:+	1	0.612637	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.612637	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.612637	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	1.225275	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	17	10.414835	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	106	64.939560	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	1.225275	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	1	0.612637	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	3	1.837912	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	1.225275	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	9	5.513736	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	55	33.695055	N	mature,MIMAT0000065
