miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.376129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	2.201807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	27	7.431099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	155	42.660014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3462	952.832061	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10142	2791.341063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30317	8344.023566	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	533	146.695404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	2.477033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.376129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	68	18.715361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	11	3.027485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	64	17.614458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	1.376129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	2.477033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.275226	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.275226	N	stemloop
hsa-let-7a-1	hg38:chr9:94175985-94176007:+	1	0.275226	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.825678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	38	10.458584	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	84	23.118975	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.550452	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.825678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.376129	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.550452	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	44	12.109940	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	25	6.880647	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.550452	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.275226	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.651355	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	473	130.181850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	24	6.605422	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	69	18.990587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	70	19.265813	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	30452	8381.179062	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	2.201807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	12	3.302711	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10285	2830.698366	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.100904	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	1.376129	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3492	961.088838	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	170	46.788403	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.275226	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.550452	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.825678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	1.100904	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	65	17.889683	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	162	44.586596	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	108	29.724397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	0.825678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	122	33.577560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3451	949.804576	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10163	2797.120807	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	30152	8298.611293	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	497	136.787272	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.825678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	11	3.027485	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	62	17.064006	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	14	3.853163	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	76	20.917168	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.550452	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	15	4.128388	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	3	0.825678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112780:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.275226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	8	2.201807	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	58	15.963102	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	89	24.495105	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	4	1.100904	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.825678	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	1.100904	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.550452	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.275226	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	2	0.550452	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	11	3.027485	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	56	15.412650	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1393	383.389677	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	36132	9944.462166	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	14191	3905.730726	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	42961	11823.979827	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7678	2113.184449	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	17	4.678840	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.550452	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	23	6.330196	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	28	7.706325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	105	28.898719	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	42	11.559488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.275226	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113712:+	1	0.275226	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	2	0.550452	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	9	2.477033	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	12	3.302711	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	65	17.889683	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	21	5.779744	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.550452	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	2	0.550452	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	14	3.853163	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	21	5.779744	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	4	1.100904	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.275226	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	3	0.825678	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	7	1.926581	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113762:+	1	0.275226	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.275226	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	2	0.550452	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	21	5.779744	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	150	41.283885	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.275226	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.275226	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	1.376129	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	9	2.477033	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	3.853163	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	15	4.128388	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	175	48.164532	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	423	116.420555	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	530	145.869726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2473	680.633647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	111	30.550075	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.550452	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.275226	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	11	3.027485	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.275226	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.275226	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.275226	N	mature,MIMAT0000064
