miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.661878	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.323756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	113	37.396106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3581	1185.092522	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5235	1732.465611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9101	3011.875746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	176	58.245262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	2.647512	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.661878	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	2.647512	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.992817	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	14	4.633146	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	1.985634	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	7.611597	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.323756	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.661878	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.323756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.661878	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	185	61.223713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.992817	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.992817	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.992817	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8998	2977.789030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5122	1695.069505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3655	1209.582008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	125	41.367374	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.992817	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.330939	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	2.316573	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.661878	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	55	18.201644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	87	28.791692	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	31	10.259109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	137	45.338642	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3654	1209.251069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5088	1683.817580	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8951	2962.234897	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	180	59.569018	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.661878	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.661878	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.992817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.992817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	9	2.978451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.992817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.330939	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	2.316573	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	4.302207	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	23	7.611597	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.330939	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	3	0.992817	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.330939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	1.654695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	47	15.554133	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	807	267.067765	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15472	5120.288049	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6780	2243.766350	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	11452	3789.913311	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1642	543.401821	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.330939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.661878	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.992817	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.330939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.330939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.323756	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.992817	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.330939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	1.654695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.330939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.330939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.661878	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.330939	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	32	10.590048	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	99	32.762960	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113768:+	1	0.330939	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.330939	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.330939	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.661878	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.661878	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.330939	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	3	0.992817	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	1.654695	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	33	10.920987	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	25	8.273475	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	17	5.625963	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	253	83.727564	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1345	445.112941	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1375	455.041111	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4166	1378.691831	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	150	49.640848	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.661878	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.330939	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.661878	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	5	1.654695	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	9	2.978451	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	46	15.223194	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	59	19.525400	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	89	29.453570	N	mature,MIMAT0000065
