miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.158977	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	5	0.794885	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	7	1.112839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	9	1.430793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	3	0.476931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	16	2.543631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	42	6.677032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	63	10.015548	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	856	136.084271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18710	2974.458763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	42539	6762.720541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	78371	12459.182668	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1633	259.609362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	34	5.405216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	25	3.974424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	71	11.287364	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	164	26.072220	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	9	1.430793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.476931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	19	3.020562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	82	13.036110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	8	1.271816	N	mature,MIMAT0000062
