miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	3	1.062549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	6	2.125098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	1.062549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.416732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	2.479281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	137	48.523074	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4382	1552.030018	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7628	2701.708118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13022	4612.171358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	298	105.546542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	2.125098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	4.604379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	23	8.146210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.708366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	15	5.312745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.354183	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	3.187647	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	7.792027	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.354183	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.354183	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	28	9.917125	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.770915	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	2.479281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	281	99.525430	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.062549	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	2.479281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	19	6.729477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13071	4629.526326	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.062549	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.708366	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	1.770915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7280	2578.452426	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	1.770915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4465	1581.427209	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	141	49.939807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.354183	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.354183	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	1.416732	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	48	17.000785	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	80	28.334642	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	35	12.396406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	145	51.356539	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4430	1569.030803	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7413	2625.558768	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13040	4618.546652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	256	90.670855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.708366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	8	2.833464	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	16	5.666928	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	2.833464	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.354183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.708366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.708366	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	9	3.187647	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	4.958562	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.354183	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.708366	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	4.958562	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	40	14.167321	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	996	352.766293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	32843	11632.433106	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9550	3382.447893	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	19823	7020.970114	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3952	1399.731317	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.354183	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	15	5.312745	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	9	3.187647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	38	13.458955	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	10	3.541830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.708366	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.708366	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	17	6.021111	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	1.062549	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	1.062549	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	12	4.250196	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	10	3.541830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.354183	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	31	10.979674	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	159	56.315101	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.708366	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.354183	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.708366	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	12	4.250196	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.708366	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.354183	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.354183	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	16	5.666928	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	78	27.626276	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	51	18.063334	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	57	20.188432	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	806	285.471519	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3677	1302.330985	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	3356	1188.638234	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	12336	4369.201803	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	458	162.215826	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	1.770915	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	4	1.416732	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	1.062549	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	24	8.500393	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	4	1.416732	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.708366	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.354183	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539870-16539893:+	2	0.708366	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.354183	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	1.062549	N	mature,MIMAT0026472
