miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	3.621506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	4.345807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	64	46.355280	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1721	1246.522449	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3225	2335.871526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8215	5950.134756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	244	176.729505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	3.621506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	3.621506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	24	17.383230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	2.172904	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	5.070109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.897205	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	7.967314	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	1.448602	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.724301	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	5.794410	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	4.345807	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.724301	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	2.172904	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.724301	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	2.897205	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	266	192.664132	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	5.794410	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	17	12.313121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8301	6012.424664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.448602	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	2.897205	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	4.345807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3217	2330.077116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1701	1232.036424	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	61	44.182376	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.724301	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	1	0.724301	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	8.691615	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	24	17.383230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	34	24.626242	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	63	45.630979	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1757	1272.597294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3171	2296.759259	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8245	5971.863794	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	252	182.523915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	2.897205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	1.448602	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	18	13.037422	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	2.897205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.448602	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.724301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	2.172904	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	3.621506	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	14	10.140217	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	2.897205	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.724301	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.724301	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	4.345807	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	21	15.210326	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	447	323.762658	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9362	6780.908288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1640	1187.854048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3910	2832.017882	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1260	912.619573	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	2.172904	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	8	5.794410	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	2.897205	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	5.794410	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	4	2.897205	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.724301	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.724301	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.724301	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	1.448602	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.724301	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	1.448602	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	2.172904	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.724301	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.724301	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	4	2.897205	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.724301	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	5.794410	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	34	24.626242	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.724301	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.724301	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	1.448602	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	13	9.415916	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	10.140217	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	10	7.243012	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	153	110.818091	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	588	425.889134	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	457	331.005671	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1814	1313.882465	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	120	86.916150	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	2.172904	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.724301	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.724301	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	14	10.140217	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.724301	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.724301	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539899:+	1	0.724301	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	1.448602	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.724301	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	15	10.864519	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	22	15.934627	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.724301	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.724301	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.724301	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	1.448602	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	1.448602	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	90	65.187112	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	202	146.308852	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	827	598.997132	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	65	47.079581	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	4	2.897205	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.724301	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	10	7.243012	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.724301	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.724301	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.724301	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.724301	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178910:+	1	0.724301	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.724301	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	3	2.172904	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	5	3.621506	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	193	139.790141	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	640	463.552799	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	960	695.329199	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	7	5.070109	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	7	5.070109	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	13	9.415916	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	39	28.247749	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178916:+	1	0.724301	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.724301	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.724301	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	9	6.518711	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	4.345807	N	mature,MIMAT0000066
