miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	1.235251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	63	25.940273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1823	750.620920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2005	825.559486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4624	1903.933698	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	59	24.293272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	4.941004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	1.235251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	23	9.470258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	136	55.998050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	8	3.294003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	7.823257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.647001	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	4.117504	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	7.823257	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.823501	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.647001	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	1.235251	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	1.647001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	79	32.528279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	1.647001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	30	12.352511	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	137	56.409800	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	12	4.941004	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4497	1851.641402	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	26	10.705510	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2012	828.441739	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.411750	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	5	2.058752	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.823501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1843	758.855927	N	mature,MIMAT0000062
