miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.084203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.084203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	3	0.252609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	47	3.957534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	29	2.441883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	31	2.610288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	4767	401.394972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	92039	7749.945837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	190107	16007.550638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	183573	15457.369235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1184	99.696171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	1.347246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	0.842028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	1.684057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	43	3.620722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	3	0.252609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	9	0.757826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	14	1.178840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	14	1.178840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	146	12.293616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	201	16.924772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	10	0.842028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.084203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	37	3.115505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	57	4.799562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	20	1.684057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	2	0.168406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.084203	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.084203	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.252609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	1.599854	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	96	8.083473	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	95	7.999270	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.168406	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	8	0.673623	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.421014	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.084203	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	4	0.336811	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	0.673623	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.084203	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.084203	N	mature,MIMAT0010195
