miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.456015	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.228007	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.140037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	3.648117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	67	15.276491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2504	570.930343	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8125	1852.559519	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30567	6969.499916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1517	345.887113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	86	19.608630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.456015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.140037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.684022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.228007	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176009:+	1	0.228007	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.456015	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	5.016161	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	61	13.908447	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.228007	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.456015	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.912029	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.228007	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.456015	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.228007	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	47	10.716344	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1521	346.799142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.456015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.456015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	30463	6945.787154	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.368044	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.228007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.456015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7714	1758.848508	N	mature,MIMAT0000062
