miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.225014	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	3	0.675041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	2	0.450028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.225014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.225014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	3	0.675041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	2.475152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	2.475152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	3.150193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	423	95.180835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11870	2670.913727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11059	2488.427541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16032	3607.421135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	257	57.828545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.800110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	1.350083	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	4.050248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	53	11.925731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.225014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.675041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	14	3.150193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	51	11.475703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.450028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	1.800110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.225014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.225014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.225014	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.225014	N	mature,MIMAT0004481
