miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175980:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	2.415631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	9.662524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	21	25.364126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	880	1062.877669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1012	1222.309319	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4420	5338.544655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	117	141.314417	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	10.870340	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	3.623447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	7.246893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	48	57.975146	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	2.415631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	3.623447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	34	41.065728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	2.415631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	9.662524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	2	2.415631	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	1.207816	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	14.493786	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	22.948495	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	9.662524	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	1.207816	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	1.207816	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	2.415631	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	4.831262	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	3.623447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	103	124.405000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	9	10.870340	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	26	31.403204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	2.415631	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	40	48.312621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4424	5343.375917	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	4.831262	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	3.623447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	990	1195.737377	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	3.623447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	866	1045.968251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	19	22.948495	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	1.207816	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	14.493786	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	35	42.273544	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	70	84.547087	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	8	9.662524	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	28	33.818835	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	909	1097.904319	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1022	1234.387474	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	4523	5462.949655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	110	132.859709	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	6	7.246893	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	2.415631	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	7.246893	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	50	60.390777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	4.831262	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	26	31.403204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	2.415631	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	8	9.662524	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112781:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	2.415631	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112765-46112790:+	1	1.207816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112777-46112797:+	1	1.207816	N	unannotated
hsa-let-7a-3	hg38:chr22:46112795-46112815:+	1	1.207816	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112799-46112822:+	1	1.207816	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	6.039078	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	18	21.740680	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	6.039078	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	2.415631	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	1.207816	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113660-46113690:+	1	1.207816	N	precursor
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	1.207816	N	precursor
hsa-let-7b	hg38:chr22:46113688-46113713:+	1	1.207816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113689-46113712:+	1	1.207816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	9.662524	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	7.246893	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	429	518.152864	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	10787	13028.706152	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4920	5942.452421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	14554	17578.547264	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2619	3163.268880	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	1.207816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	23	27.779757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	36	43.481359	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	131	158.223835	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	34	41.065728	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	1.207816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	1.207816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	43	51.936068	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	14	16.909417	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	1.207816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	11	13.285971	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	10	12.078155	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113719:+	2	2.415631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	1.207816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	2.415631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113726-46113756:+	1	1.207816	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113729-46113759:+	1	1.207816	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113739-46113765:+	1	1.207816	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	1.207816	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	18.117233	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	52	62.806408	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	1.207816	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	3	3.623447	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	1.207816	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	1.207816	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	1.207816	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	3	3.623447	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	1	1.207816	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	4	4.831262	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	15	18.117233	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	58	70.053301	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	96	115.950291	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	476	574.920194	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	25	30.195388	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	1.207816	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	12	14.493786	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539879-16539904:+	1	1.207816	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	2.415631	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	3.623447	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	9	10.870340	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	1.207816	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	36	43.481359	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	139	167.886359	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	426	514.529417	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	28	33.818835	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	2	2.415631	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	15	18.117233	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	25	30.195388	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	1.207816	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	2	2.415631	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	13	15.701602	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	1	1.207816	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	3	3.623447	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	1.207816	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178847-94178862:+	1	1.207816	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	1.207816	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	1.207816	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	43	51.936068	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	110	132.859709	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	264	318.863301	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	1.207816	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	3.623447	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	6.039078	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	18	21.740680	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	1.207816	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	1.207816	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692769-51692793:+	1	1.207816	N	precursor
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	1.207816	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692812:+	3	3.623447	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	45	54.351699	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	160	193.250485	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	608	734.351844	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	56	67.637670	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	2	2.415631	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692813:+	1	1.207816	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	1.207816	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	7	8.454709	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	1.207816	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	2	2.415631	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	2	2.415631	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	2	2.415631	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	1.207816	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	2.415631	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	9	10.870340	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	5	6.039078	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	4	4.831262	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	104	125.612815	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	176	212.575534	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	733	885.328786	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	28	33.818835	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	2.415631	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	2	2.415631	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	16	19.325049	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176375:+	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176376:+	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176379:+	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	8	9.662524	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	3	3.623447	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176408-94176430:+	1	1.207816	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	1.207816	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	3	3.623447	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176410-94176430:+	1	1.207816	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	1.207816	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	35	42.273544	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	5	6.039078	N	mature,MIMAT0000067
